gene_name,gene_id,is_Secreted,State_Change_Region,CellType_Specific_Region,Spearman_Rho,P_Value,FDR,log2FoldChange,DEG_padj,Promoter_Meth_Healthy,Promoter_Meth_Altered,Delta_Promoter_Meth,DMR_Status,DMR_Meth_Healthy,DMR_Meth_Altered
TMEM253,ENSG00000232070.9,False,None,None,0.2522359864288881,0.0325550591417818,0.1895993551580929,-0.0693464288799821,,0.025795356835769563,0.03203582500861178,0.006240468172842219,None,,
OR5AU1,ENSG00000169327.5,False,None,None,0.135188796897354,0.2575311343964339,0.5170914269889881,,,0.8292682926829268,0.8741007194244604,0.04483242674153365,None,,
HNRNPC,ENSG00000092199.19,False,None,None,-0.0013873604466089,0.9907717804671176,0.9959956343446354,-0.0337219445659707,0.925115268013794,0.09300905668057392,0.1108955223880597,0.017886465707485782,None,,
RPGRIP1,ENSG00000092200.13,False,None,None,-0.0158278673370539,0.8950146443055331,0.9521668903748846,-0.0263872510158418,0.950479357525697,0.8816098707403055,0.8926049795615013,0.01099510882119581,None,,
SUPT16H,ENSG00000092201.10,False,None,None,-0.012238501082586,0.918730131282976,0.9635960964828256,-0.223412497004367,0.224623541457687,0.010417563495479983,0.012632582528900012,0.0022150190334200293,None,,
CHD8,ENSG00000100888.15,False,None,None,-0.0184981392881192,0.877429953961192,0.9433720880675414,-0.03638399828285,0.904533902224464,0.05501266739051755,0.06240084611316764,0.007388178722650088,None,,
RAB2B,ENSG00000129472.15,False,None,None,-0.0145507684936009,0.9034432061557064,0.956226031844638,-0.0247298881492319,0.933695430784365,0.007101218865924748,0.007977122215532812,0.0008759033496080638,None,,
TOX4,ENSG00000092203.15,False,None,None,-0.0838527260408761,0.4837423310030653,0.7102780391238979,-0.0286663512452188,0.91634582171024,0.20822361758152724,0.1989867717421897,-0.009236845839337537,None,,
METTL3,ENSG00000165819.12,False,None,None,-0.011792563796176,0.9216818818760592,0.9651100910083134,-0.201594477771311,0.35675076765174,0.2501693603019452,0.2702055758941143,0.020036215592169115,None,,
SALL2,ENSG00000165821.12,False,None,None,0.0542361617660684,0.6509174238030484,0.822200726604429,-0.0965363238718406,0.739079786728238,0.5956284153005464,0.6091044037605146,0.013475988459968113,None,,
OR10G3,ENSG00000169208.3,False,None,None,0.0809722003260109,0.4989398980897261,0.7210511514118608,-0.0252319330547918,,0.851013672795851,0.8311258278145696,-0.01988784498128149,None,,
OR10G2,ENSG00000255582.1,False,None,None,,,,,,0.8600178890876565,0.8184840425531915,-0.04153384653446501,None,,
OR4E2,ENSG00000221977.3,False,None,None,-0.0957886368830171,0.4234724873606481,0.6651096487419945,0.0192709066438873,,0.8251295336787565,0.780439121756487,-0.044690411922269524,None,,
OR4E1,ENSG00000276240.3,False,None,None,,,,0.0111447287581427,,0.8232286340394448,0.8332403792526492,0.01001174521320436,None,,
DAD1,ENSG00000129562.11,False,None,None,0.0854052484454147,0.4756543762044964,0.7057147720948209,-0.1940168778681,0.537232761622587,0.04312947468299836,0.048173571953910276,0.005044097270911915,None,,
ABHD4,ENSG00000100439.11,False,None,None,0.0105538491117037,0.9298866060145744,0.9689111288664182,0.0576057892007106,0.876884249500895,0.13145457727988796,0.14086262777362255,0.009408050493734582,None,,
OR6J1,ENSG00000255804.2,False,None,None,-0.0753745823194619,0.5291676028421839,0.7423805455131794,-0.0477764798766371,,0.4130718954248366,0.410857908847185,-0.0022139865776515943,None,,
OXA1L,ENSG00000155463.14,False,None,None,-0.115183949460128,0.3353094429902388,0.5916203344305908,0.24858792315167,0.269675863125209,0.27623156136932925,0.2951131796065158,0.018881618237186537,PT_Altered_Hyper,0.2803250145095763,0.5837023914969
SLC7A7,ENSG00000155465.21,False,None,None,-0.0585793978267069,0.6249950255719541,0.8060081519921949,1.35832119405805,4.62111037940349e-05,0.0686979827902384,0.06471061093247589,-0.003987371857762503,None,,
MRPL52,ENSG00000172590.18,False,None,None,0.0371944729257539,0.7564169591847962,0.8831423733785354,-0.318790273197402,0.275122284623392,0.25967812092214004,0.2520596312279325,-0.007618489694207531,None,,
MMP14,ENSG00000157227.14,False,None,None,0.1197919680863648,0.3162017166154163,0.5742005328491098,-0.341734711900808,0.283569875059222,0.18806193806193805,0.19203664552501762,0.003974707463079569,None,,
LRP10,ENSG00000197324.9,False,None,None,0.0451552792979624,0.7064399016748408,0.8550207244340253,-0.316283286084613,0.243705577882919,0.0540667606958157,0.05150214592274678,-0.002564614773068921,None,,
REM2,ENSG00000139890.10,False,None,None,0.1425368365900844,0.2323185460724242,0.4902788891545482,-0.0443270072039861,,0.23224400871459694,0.22300469483568075,-0.009239313878916189,None,,
RBM23,ENSG00000100461.18,False,None,None,-0.2224070925480476,0.0604152763402496,0.2528300760697635,0.0867942547428154,0.728648401928181,0.04195519348268839,0.044907210653067006,0.0029520171703786152,None,,
PRMT5,ENSG00000100462.16,False,None,None,-0.0673552123802726,0.5740040271378086,0.7726982042958266,-0.124062849790559,0.674640633444467,0.00403533645981023,0.005856064108491293,0.0018207276486810623,None,,
HAUS4,ENSG00000092036.19,False,None,None,-0.1759140013908551,0.1393785199426367,0.3794973557301637,-0.0008259597258289,0.998444685100604,0.2632342277012328,0.2833870694043781,0.020152841703145297,None,,
ENSG00000259132,ENSG00000259132.1,False,None,None,,,,,,0.005428369129100779,0.00749003984063745,0.0020616707115366706,PT_Altered_Hypo,0.48227474150664695,0.2202982202982203
AJUBA,ENSG00000129474.16,False,None,None,0.1262012666029919,0.2908118949841078,0.5503089405547613,-0.606622063571332,0.0642716136392727,0.013163542709972815,0.0163265306122449,0.0031629879022720842,PT_Altered_Hypo,0.48227474150664695,0.2202982202982203
C14orf93,ENSG00000100802.15,True,None,None,0.0959952168597706,0.4224687482853375,0.6643550426687926,-0.120061543131207,0.683448263464651,0.1532504952278048,0.13111165166626126,-0.022138843561543525,None,,
PSMB5,ENSG00000100804.19,False,None,None,0.02084343909072,0.8620336957564043,0.9356332251972864,-0.211404010978565,0.354966655217988,0.42587865698016886,0.4060234244283324,-0.019855232551836466,None,,
PSMB11,ENSG00000222028.5,False,None,None,,,,0.0093875103259031,,0.913626209977662,0.9242749731471536,0.010648763169491593,None,,
CDH24,ENSG00000139880.21,False,None,None,0.2694885505701821,0.02206803131207,0.1593009013237808,-0.547207617811617,0.10086383679547,0.014845119812974868,0.01278693575720228,-0.002058184055772589,None,,
ACIN1,ENSG00000100813.15,False,None,None,-0.1332196352660443,0.2645918559502547,0.5245126854122102,-0.0097150625739853,0.982230744212527,0.017908538535337384,0.020155485171321624,0.0022469466359842406,PT_Altered_Hyper,0.6692015209125475,0.8357664233576643
C14orf119,ENSG00000179933.6,False,None,None,-0.0089270755920582,0.940672618657158,0.9737380789771882,0.131847616206313,0.680723190037861,0.0034543440005214104,0.0035313851858391455,7.704118531773503e-05,PT_Altered_Hyper,0.6692015209125475,0.8357664233576643
CIROP,ENSG00000283654.3,False,None,None,,,,,,0.8683920704845814,0.8768511301636789,0.008459059679097436,PT_Altered_Hyper,0.6692015209125475,0.8357664233576643
CEBPE,ENSG00000092067.7,False,None,None,0.1058959287491341,0.3759821495623205,0.627054117612259,-0.0043310788272292,,0.4457070707070707,0.4683229813664596,0.022615910659388894,PT_Altered_Hyper,0.5412026726057907,0.8033898305084746
SLC7A8,ENSG00000092068.21,False,None,None,0.0506716886928122,0.6725066554925245,0.8346557012987588,2.21235721409916,1.50782806589047e-08,0.035546613011401745,0.07672574626865672,0.041179133257254974,PT_Altered_Hyper,0.2126461671719359,0.48153214774281805
